FACET,ID-ES,TERM-ES,SYNONYMS,ES2,ES3,ES4,ES5,ES6,ES7,ES8,ES9,ES10,ES11,ES12,ES13,ES14,ES15,ES16,ES17,ES18,ES19,ES20,ES21,ES22,ES23,ES24,ES25,CAT 1,CAT 1,CAT 2,CAT 3,CAT4
http://data.silknow.org/vocabulary/facet/drawings,34,dibujo policromo,"dibujos policromos, dibujos polícromos, dibujos policromados, Carta sobre papel milimitrado polícromo, dibujo policromo., Dibujo Polícromo.",dibujos policromos,dibujos polícromos,dibujos policromados,Carta sobre papel milimitrado polícromo,dibujo policromo.,Dibujo Polícromo.,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/drawings,35,Dibujo monocromo,Dibujo monocromo.,Dibujo monocromo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/womens_attire,36, Indumentaria femenina,"Indumentaria femenina, Indumentaria civil; Tejidos: confección; Mujer, Indumentaria civil; Tejidos: confección; Mujer",,Indumentaria femenina,Indumentaria civil; Tejidos: confección; Mujer,Indumentaria civil; Tejidos: confección; Mujer,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/mens_attire,40,Indumentaria masculina,Indumentaria masculina,Indumentaria masculina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/costume_accessories,43,Accesorios de indumentaria,"Accesorios de indumentaria, Accesorios de indumentaria, Tejidos accesorios",Accesorios de indumentaria,Accesorios de indumentaria,Tejidos accesorios,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/costume_accessories,44,Objetos de uso personal,"Objetos de uso personal, Objetos de uso personal, Tejidos; Objetos de aseo y arreglo personal, Tejidos; Objetos de aseo y arreglo personal",Objetos de uso personal,Objetos de uso personal,Tejidos; Objetos de aseo y arreglo personal,Tejidos; Objetos de aseo y arreglo personal,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/civil_attire,45,Indumentaria civil,"Indumentaria civil (burguesa),  Indumentaria civil, Indumentaria civil (burguesa), indumentaria civil ",Indumentaria civil (burguesa), Indumentaria civil,Indumentaria civil (burguesa),indumentaria civil ,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/drawings,46,dibujo monocromo para posterior calco (marcas de punzón),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/drawings,47,dibujo policromo para posterior calco (marcas de punzón),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/drawings,48,"dibujo policromo, parcialmente para posterior calco (marcas de punzón)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/sketch,49,Boceto con motivo floral para posterior calco (marcas de punzón),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/costume_accessories,53,Accesorios de indumentaria; Cueros artísticos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/household_objects,54,Ajuar doméstico," Ajuar doméstico, Labores", Ajuar doméstico,Labores,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/other_typesofobjects,55,impresión y grafito sobre papel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/costume_accessories,56,mantón,,,,,,,,,,,,,,,,,,,,,,,,,,,mantó,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,fondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/fabric_passementerie,59,muestra de galón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/fabrics,60,tejido mecánico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/regional_attire,61,Indumentaria Popular,"Indumentaria Popular, Indumentaria Popular,  Indumentaria Popular",Indumentaria Popular,Indumentaria Popular, Indumentaria Popular,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/costume,62,kesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/fabrics,63,Tapicería a modo de Damasco,Tejidos; Equipamiento de tejidos asociados al mobiliario,Tejidos; Equipamiento de tejidos asociados al mobiliario,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65, Heráldica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/ornamental_fabrics,67,Decoración (tejidos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/religious_accessories,68,Objetos de uso religioso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/fabrics,69,muestra de tela ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/furniture,70,mobiliario de ajuar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/costume,71,Prendas de busto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/household_objects,72,ajuar de mesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
