FACET,ID-ES,TERM-CA,SYNONYMS,CAT 2,CAT 3,CAT4
http://data.silknow.org/vocabulary/facet/fabrics,1,peces tèxtils,"teixits, teixit artístic, teixit",teixits,teixit artístic,teixit
http://data.silknow.org/vocabulary/facet/costume_accessories,56,mantó,,,,
