ID,TERMS,SYNONYMS,altLabel1,altLabel2
1,Object Type Assignment,"Dénomination, Dénomination(s)",Dénomination,Dénomination(s)
2,Object Domain Assignment,"Domaine, Type(s) d'objet(s)",Domaine,Type(s) d'objet(s)
