ID,TERMS,SYNONYMS,altLabel1,altLabel2,altLabel3
1,Object Type Assignment,"Tipología, CLASSIFICACIÓ GENÈRICA, Objeto/Documento",Tipología,CLASSIFICACIÓ GENÈRICA,Objeto/Documento
2,Object Domain Assignment,"Objecto, DENOMINACIÓ, Clasificación Genérica",Objecto,DENOMINACIÓ,Clasificación Genérica
