ID,TERMS,SYNONYMS,altLabel1,altLabel2,altLabel3,altLabel4,altLabel5
1,Object Type Assignment,"Definizione, Titolo, Oggetto, Fotografia, Sogetto",Definizione,Titolo,Oggetto,Fotografia,Sogetto
2,Object Domain Assignment,Classe percorso,Classe percorso,,,,
